,varied_param,step_index,param_measured,index_name,true_value,est_mean,hdi_lo,hdi_hi,divergences
48,beta_group_mu,0,alpha_group_mu,alpha_group_mu[NH],1.0,0.997,0.692,1.254,55
49,beta_group_mu,0,alpha_group_mu,alpha_group_mu[PH],1.0,0.952,0.706,1.202,55
50,beta_group_mu,0,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.09,0.019,0.153,55
51,beta_group_mu,0,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.069,0.006,0.132,55
52,beta_group_mu,0,beta_group_mu,beta_group_mu[NH],0.5,0.533,0.374,0.676,55
53,beta_group_mu,0,beta_group_mu,beta_group_mu[PH],0.5,0.589,0.447,0.743,55
54,beta_group_mu,0,beta_group_sigma,beta_group_sigma[NH],0.05,0.04,0.005,0.071,55
55,beta_group_mu,0,beta_group_sigma,beta_group_sigma[PH],0.05,0.067,0.03,0.096,55
56,beta_group_mu,0,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,-0.055,-0.318,0.252,55
57,beta_group_mu,0,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.121,-0.148,0.415,55
58,beta_group_mu,0,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,-0.046,-0.305,0.2,55
59,beta_group_mu,0,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.0,0.014,-0.234,0.274,55
60,beta_group_mu,0,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,-0.019,-0.157,0.133,55
61,beta_group_mu,0,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.098,-0.248,0.053,55
62,beta_group_mu,0,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,-0.037,-0.188,0.118,55
63,beta_group_mu,0,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.064,-0.209,0.089,55
64,beta_group_mu,1,alpha_group_mu,alpha_group_mu[NH],1.0,1.034,0.786,1.273,8
65,beta_group_mu,1,alpha_group_mu,alpha_group_mu[PH],1.0,0.986,0.625,1.259,8
66,beta_group_mu,1,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.087,0.016,0.137,8
67,beta_group_mu,1,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.07,0.013,0.123,8
68,beta_group_mu,1,beta_group_mu,beta_group_mu[NH],0.9,0.879,0.721,1.007,8
69,beta_group_mu,1,beta_group_mu,beta_group_mu[PH],0.9,0.909,0.783,1.052,8
70,beta_group_mu,1,beta_group_sigma,beta_group_sigma[NH],0.05,0.045,0.008,0.07,8
71,beta_group_mu,1,beta_group_sigma,beta_group_sigma[PH],0.05,0.068,0.044,0.091,8
72,beta_group_mu,1,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,-0.065,-0.297,0.18,8
73,beta_group_mu,1,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.091,-0.164,0.328,8
74,beta_group_mu,1,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,-0.015,-0.329,0.287,8
75,beta_group_mu,1,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.0,0.023,-0.269,0.351,8
76,beta_group_mu,1,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,0.025,-0.113,0.176,8
77,beta_group_mu,1,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.048,-0.186,0.087,8
78,beta_group_mu,1,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,0.009,-0.131,0.14,8
79,beta_group_mu,1,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.011,-0.151,0.121,8
80,beta_group_mu,2,alpha_group_mu,alpha_group_mu[NH],1.0,1.006,0.708,1.247,2
81,beta_group_mu,2,alpha_group_mu,alpha_group_mu[PH],1.0,0.951,0.703,1.189,2
82,beta_group_mu,2,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.085,0.023,0.133,2
83,beta_group_mu,2,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.079,0.01,0.128,2
84,beta_group_mu,2,beta_group_mu,beta_group_mu[NH],1.2,1.166,1.032,1.315,2
85,beta_group_mu,2,beta_group_mu,beta_group_mu[PH],1.2,1.188,1.05,1.32,2
86,beta_group_mu,2,beta_group_sigma,beta_group_sigma[NH],0.05,0.046,0.022,0.072,2
87,beta_group_mu,2,beta_group_sigma,beta_group_sigma[PH],0.05,0.067,0.043,0.088,2
88,beta_group_mu,2,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,-0.039,-0.284,0.278,2
89,beta_group_mu,2,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.067,-0.188,0.361,2
90,beta_group_mu,2,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,0.018,-0.226,0.266,2
91,beta_group_mu,2,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.0,0.057,-0.186,0.304,2
92,beta_group_mu,2,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,0.041,-0.104,0.179,2
93,beta_group_mu,2,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.01,-0.147,0.131,2
94,beta_group_mu,2,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,0.028,-0.111,0.161,2
95,beta_group_mu,2,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,0.008,-0.141,0.135,2
96,alpha_group_sigma,0,alpha_group_mu,alpha_group_mu[NH],1.0,1.019,0.74,1.306,70
97,alpha_group_sigma,0,alpha_group_mu,alpha_group_mu[PH],1.0,0.915,0.653,1.166,70
98,alpha_group_sigma,0,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.093,0.026,0.151,70
99,alpha_group_sigma,0,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.075,0.01,0.134,70
100,alpha_group_sigma,0,beta_group_mu,beta_group_mu[NH],0.5,0.528,0.393,0.69,70
101,alpha_group_sigma,0,beta_group_mu,beta_group_mu[PH],0.5,0.614,0.441,0.776,70
102,alpha_group_sigma,0,beta_group_sigma,beta_group_sigma[NH],0.05,0.041,0.007,0.071,70
103,alpha_group_sigma,0,beta_group_sigma,beta_group_sigma[PH],0.05,0.063,0.02,0.09,70
104,alpha_group_sigma,0,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,-0.066,-0.351,0.195,70
105,alpha_group_sigma,0,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.106,-0.174,0.371,70
106,alpha_group_sigma,0,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,-0.033,-0.313,0.232,70
107,alpha_group_sigma,0,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.0,0.027,-0.261,0.281,70
108,alpha_group_sigma,0,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,-0.02,-0.161,0.116,70
109,alpha_group_sigma,0,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.096,-0.24,0.034,70
110,alpha_group_sigma,0,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,-0.045,-0.215,0.1,70
111,alpha_group_sigma,0,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.074,-0.241,0.077,70
112,alpha_group_sigma,1,alpha_group_mu,alpha_group_mu[NH],1.0,1.072,0.776,1.34,0
113,alpha_group_sigma,1,alpha_group_mu,alpha_group_mu[PH],1.0,0.977,0.736,1.262,0
114,alpha_group_sigma,1,alpha_group_sigma,alpha_group_sigma[NH],0.2,0.163,0.029,0.234,0
115,alpha_group_sigma,1,alpha_group_sigma,alpha_group_sigma[PH],0.2,0.14,0.012,0.241,0
116,alpha_group_sigma,1,beta_group_mu,beta_group_mu[NH],0.5,0.509,0.349,0.673,0
117,alpha_group_sigma,1,beta_group_mu,beta_group_mu[PH],0.5,0.57,0.432,0.714,0
118,alpha_group_sigma,1,beta_group_sigma,beta_group_sigma[NH],0.05,0.055,0.005,0.106,0
119,alpha_group_sigma,1,beta_group_sigma,beta_group_sigma[PH],0.05,0.088,0.015,0.14,0
120,alpha_group_sigma,1,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,-0.083,-0.358,0.19,0
121,alpha_group_sigma,1,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.063,-0.2,0.327,0
122,alpha_group_sigma,1,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,-0.055,-0.321,0.183,0
123,alpha_group_sigma,1,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.0,0.029,-0.212,0.286,0
124,alpha_group_sigma,1,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,-0.026,-0.17,0.122,0
125,alpha_group_sigma,1,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.084,-0.225,0.062,0
126,alpha_group_sigma,1,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,-0.028,-0.162,0.122,0
127,alpha_group_sigma,1,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.068,-0.206,0.062,0
128,alpha_group_sigma,2,alpha_group_mu,alpha_group_mu[NH],1.0,0.955,0.675,1.245,9
129,alpha_group_sigma,2,alpha_group_mu,alpha_group_mu[PH],1.0,0.929,0.625,1.194,9
130,alpha_group_sigma,2,alpha_group_sigma,alpha_group_sigma[NH],0.5,0.4,0.307,0.499,9
131,alpha_group_sigma,2,alpha_group_sigma,alpha_group_sigma[PH],0.5,0.46,0.359,0.577,9
132,alpha_group_sigma,2,beta_group_mu,beta_group_mu[NH],0.5,0.567,0.416,0.704,9
133,alpha_group_sigma,2,beta_group_mu,beta_group_mu[PH],0.5,0.593,0.455,0.717,9
134,alpha_group_sigma,2,beta_group_sigma,beta_group_sigma[NH],0.05,0.051,0.006,0.11,9
135,alpha_group_sigma,2,beta_group_sigma,beta_group_sigma[PH],0.05,0.065,0.008,0.123,9
136,alpha_group_sigma,2,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,-0.01,-0.265,0.218,9
137,alpha_group_sigma,2,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.041,-0.205,0.278,9
138,alpha_group_sigma,2,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,-0.019,-0.268,0.215,9
139,alpha_group_sigma,2,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.0,0.003,-0.253,0.248,9
140,alpha_group_sigma,2,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,-0.066,-0.194,0.077,9
141,alpha_group_sigma,2,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.08,-0.21,0.062,9
142,alpha_group_sigma,2,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,-0.04,-0.154,0.079,9
143,alpha_group_sigma,2,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.047,-0.161,0.076,9
144,delta_alpha_group_entity,0,alpha_group_mu,alpha_group_mu[NH],1.0,1.002,0.718,1.285,44
145,delta_alpha_group_entity,0,alpha_group_mu,alpha_group_mu[PH],1.0,0.922,0.63,1.204,44
146,delta_alpha_group_entity,0,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.083,0.017,0.142,44
147,delta_alpha_group_entity,0,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.064,0.005,0.132,44
148,delta_alpha_group_entity,0,beta_group_mu,beta_group_mu[NH],0.5,0.541,0.393,0.685,44
149,delta_alpha_group_entity,0,beta_group_mu,beta_group_mu[PH],0.5,0.61,0.477,0.747,44
150,delta_alpha_group_entity,0,beta_group_sigma,beta_group_sigma[NH],0.05,0.047,0.012,0.075,44
151,delta_alpha_group_entity,0,beta_group_sigma,beta_group_sigma[PH],0.05,0.066,0.026,0.097,44
