,varied_param,step_index,param_measured,index_name,true_value,est_mean,hdi_lo,hdi_hi,divergences
237,sigma_0_group,2,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.009,-0.191,0.112,752
238,sigma_0_group,2,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,-0.012,-0.198,0.097,752
239,sigma_0_group,2,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.013,-0.208,0.101,752
240,sigma_0_group,3,alpha_group_mu,alpha_group_mu[NH],1.0,0.774,0.362,1.172,84
241,sigma_0_group,3,alpha_group_mu,alpha_group_mu[PH],1.0,0.751,0.377,1.155,84
242,sigma_0_group,3,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.114,0.01,0.249,84
243,sigma_0_group,3,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.097,0.01,0.226,84
244,sigma_0_group,3,beta_group_mu,beta_group_mu[NH],0.5,0.667,0.347,1.021,84
245,sigma_0_group,3,beta_group_mu,beta_group_mu[PH],0.5,0.739,0.482,0.977,84
246,sigma_0_group,3,beta_group_sigma,beta_group_sigma[NH],0.05,0.047,0.006,0.118,84
247,sigma_0_group,3,beta_group_sigma,beta_group_sigma[PH],0.05,0.068,0.008,0.152,84
248,sigma_0_group,3,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,-0.09,-0.384,0.218,84
249,sigma_0_group,3,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.049,-0.252,0.359,84
250,sigma_0_group,3,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,-0.068,-0.378,0.221,84
251,sigma_0_group,3,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.0,-0.017,-0.357,0.26,84
252,sigma_0_group,3,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,-0.032,-0.199,0.145,84
253,sigma_0_group,3,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.047,-0.211,0.126,84
254,sigma_0_group,3,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,-0.027,-0.214,0.142,84
255,sigma_0_group,3,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.038,-0.199,0.139,84
